"filename", "language", "TypeScript", "JavaScript", "JSON", "Markdown", "JSON with Comments", "HTML", "comment", "blank", "total"
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/types/express.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 8, 4, 20
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/client.js", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 1, 10
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/client.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 2, 7
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/email.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 1, 29
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/email.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 1, 4, 25
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/oauthServer.js", "JavaScript", 0, 42, 0, 0, 0, 0, 4, 1, 47
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/passport.js", "JavaScript", 0, 48, 0, 0, 0, 0, 1, 1, 50
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/passport.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 1, 6, 53
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/txt.js", "JavaScript", 0, 27, 0, 0, 0, 0, 1, 1, 29
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/src/utils/txt.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 1, 5, 25
"/Users/dimerson/Desktop/Projects/mx-backend/maxticker/tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 10, 0, 91, 9, 110
"/Users/dimerson/Desktop/Projects/mx-backend/package-lock.json", "JSON", 0, 0, 2471, 0, 0, 0, 0, 1, 2472
"/Users/dimerson/Desktop/Projects/mx-backend/package.json", "JSON", 0, 0, 56, 0, 0, 0, 0, 1, 57
"/Users/dimerson/Desktop/Projects/mx-backend/public/success.html", "HTML", 0, 0, 0, 0, 0, 41, 0, 1, 42
"/Users/dimerson/Desktop/Projects/mx-backend/src/CustomGrantType.js", "JavaScript", 0, 41, 0, 0, 0, 0, 4, 1, 46
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/apiController.js", "JavaScript", 0, 81, 0, 0, 0, 0, 1, 1, 83
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/apiController.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 1, 8, 76
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/authController.js", "JavaScript", 0, 110, 0, 0, 0, 0, 0, 1, 111
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/authController.ts", "TypeScript", 126, 0, 0, 0, 0, 0, 0, 12, 138
"/Users/dimerson/Desktop/Projects/mx-backend/src/controllers/payController.js", "JavaScript", 0, 57, 0, 0, 0, 0, 5, 1, 63
